ROWNUM;Name;OPOPNumber;AdmArea;District;Address;PublicPhone;ExtraInfo;X_WGS;Y_WGS;GLOBALID;
1;"Общественный пункт охраны порядка Восточного административного округа № 23";"23";"Восточный административный округ";"район Гольяново";"Щёлковское шоссе, дом 19";"(499) 367-49-82";"";"";"";"90543466";
2;"Общественный пункт охраны порядка Восточного административного округа № 24";"24";"Восточный административный округ";"район Гольяново";"Амурская улица, дом 62";"(495) 462-21-72";"";"";"";"90543467";
3;"Общественный пункт охраны порядка Восточного административного округа № 25";"25";"Восточный административный округ";"район Гольяново";"Уральская улица, дом 15";"(495) 462-21-14";"";"";"";"90543468";
4;"Общественный пункт охраны порядка Восточного административного округа № 26";"26";"Восточный административный округ";"район Гольяново";"Щёлковское шоссе, дом 77";"(495) 468-02-14";"";"";"";"90543469";
5;"Общественный пункт охраны порядка Восточного административного округа № 27";"27";"Восточный административный округ";"район Гольяново";"Байкальская улица, дом 44, корпус 1";"(495) 467-96-22";"";"";"";"90543470";
6;"Общественный пункт охраны порядка Восточного административного округа № 28";"28";"Восточный административный округ";"район Гольяново";"Хабаровская улица, дом 23, корпус 2";"(495) 467-22-10";"";"";"";"90543471";
7;"Общественный пункт охраны порядка Восточного административного округа № 29";"29";"Восточный административный округ";"район Гольяново";"Уссурийская улица, дом 5, корпус 1";"(495) 467-99-04";"";"";"";"90543472";
8;"Общественный пункт охраны порядка Восточного административного округа № 30";"30";"Восточный административный округ";"район Гольяново";"Красноярская улица, дом 13";"(499) 780-13-50";"";"";"";"90543473";
9;"Общественный пункт охраны порядка Восточного административного округа № 31";"31";"Восточный административный округ";"район Гольяново";"Байкальская улица, дом 45";"(495) 467-35-29";"";"";"";"90543474";
10;"Общественный пункт охраны порядка Восточного административного округа № 32";"32";"Восточный административный округ";"район Гольяново";"Байкальская улица, дом 29";"(495) 466-84-10";"";"";"";"90543475";
11;"Общественный пункт охраны порядка Восточного административного округа № 33";"33";"Восточный административный округ";"район Гольяново";"Красноярская улица, дом 1";"(495) 460-24-87";"";"";"";"90543476";
12;"Общественный пункт охраны порядка Восточного административного округа № 34";"34";"Восточный административный округ";"район Гольяново";"Алтайская улица, дом 18";"(495) 466-41-33";"";"";"";"90543477";
13;"Общественный пункт охраны порядка Восточного административного округа № 35";"35";"Восточный административный округ";"район Ивановское";"улица Молостовых, дом 13, корпус 2";"(495) 303-74-94";"";"";"";"90543478";
14;"Общественный пункт охраны порядка Восточного административного округа № 36";"36";"Восточный административный округ";"район Ивановское";"улица Сталеваров";"(495) 652-18-91";"";"";"";"90543479";
15;"Общественный пункт охраны порядка Восточного административного округа № 38";"38";"Восточный административный округ";"район Ивановское";"Челябинская улица, дом 8";"(495) 307-83-46";"";"";"";"90543480";
16;"Общественный пункт охраны порядка Восточного административного округа № 37";"37";"Восточный административный округ";"район Ивановское";"шоссе Энтузиастов, дом 98А";"(499) 748-56-09; (495) 918-93-50";"";"";"";"90543481";
17;"Общественный пункт охраны порядка Восточного административного округа № 39";"39";"Восточный административный округ";"район Ивановское";"Саянская улица, дом 11, корпус 2";"(495) 307-83-46";"";"";"";"90543482";
18;"Общественный пункт охраны порядка Восточного административного округа № 40";"40";"Восточный административный округ";"район Ивановское";"Саянская улица, дом 10";"(495) 305-85-01";"";"";"";"90543483";
19;"Общественный пункт охраны порядка Восточного административного округа № 41";"41";"Восточный административный округ";"район Ивановское";"Федеративный проспект, дом 48, корпус 1";"(495) 303-52-35";"";"";"";"90543484";
20;"Общественный пункт охраны порядка Восточного административного округа № 42";"42";"Восточный административный округ";"район Ивановское";"улица Чечулина, дом 10";"(495) 308-95-05";"";"";"";"90543485";
21;"Общественный пункт охраны порядка Восточного административного округа № 43";"43";"Восточный административный округ";"район Измайлово";"3-я Парковая улица, дом 22А";"(499) 367-49-82";"";"";"";"90543486";
22;"Общественный пункт охраны порядка Восточного административного округа № 44";"44";"Восточный административный округ";"район Измайлово";"Заводской проезд, дом 25";"(499) 165-37-56";"";"";"";"90543487";
23;"Общественный пункт охраны порядка Восточного административного округа № 45";"45";"Восточный административный округ";"район Измайлово";"Измайловский бульвар";"(499) 367-45-72";"";"";"";"90543488";
24;"Общественный пункт охраны порядка Восточного административного округа № 46";"46";"Восточный административный округ";"район Измайлово";"Верхняя Первомайская улица, дом 16";"(499) 164-38-42";"";"";"";"90543489";
25;"Общественный пункт охраны порядка Восточного административного округа № 47";"47";"Восточный административный округ";"район Измайлово";"Верхняя Первомайская улица, дом 23А";"(499) 164-99-63";"";"";"";"90543490";
26;"Общественный пункт охраны порядка Восточного административного округа № 48";"48";"Восточный административный округ";"район Измайлово";"Измайловский проезд, дом 20, корпус 3";"(499) 164-48-80";"";"";"";"90543491";
27;"Общественный пункт охраны порядка Восточного административного округа № 49";"49";"Восточный административный округ";"район Измайлово";"Первомайская улица, дом 19";"(499) 166-67-27";"";"";"";"90543492";
28;"Общественный пункт охраны порядка Восточного административного округа № 50";"50";"Восточный административный округ";"район Измайлово";"2-я Прядильная улица, дом 5";"(499) 652-04-83";"";"";"";"90543493";
29;"Общественный пункт охраны порядка Восточного административного округа № 51";"51";"Восточный административный округ";"район Косино-Ухтомский";"Святоозерская улица, дом 11";"(499) 721-94-20";"";"";"";"90543494";
30;"Общественный пункт охраны порядка Восточного административного округа № 52";"52";"Восточный административный округ";"район Косино-Ухтомский";"улица Руднёвка, дом 22";"(499) 721-94-30";"";"";"";"90543495";
31;"Общественный пункт охраны порядка Восточного административного округа № 53";"53";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 17, корпус 9";"(499) 167-85-10";"";"";"";"90543496";
32;"Общественный пункт охраны порядка Восточного административного округа № 54";"54";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 24, корпус 13";"(499) 167-24-30";"";"";"";"90543497";
33;"Общественный пункт охраны порядка Восточного административного округа № 55";"55";"Восточный административный округ";"район Метрогородок";"Открытое шоссе, дом 27, корпус 8";"(499) 167-44-74";"";"";"";"90543498";
34;"Общественный пункт охраны порядка Восточного административного округа № 56";"56";"Восточный административный округ";"район Новогиреево";"Братская улица, дом 21, корпус 1";"(495) 309-17-55";"";"";"";"90543499";
35;"Общественный пункт охраны порядка Восточного административного округа № 57";"57";"Восточный административный округ";"район Новогиреево";"Зелёный проспект, дом 50/11";"(499) 748-41-25";"";"";"";"90543500";
36;"Общественный пункт охраны порядка Восточного административного округа № 58";"58";"Восточный административный округ";"район Новогиреево";"Сапёрный проезд, дом 11";"(499) 748-42-75";"";"";"";"90543501";
37;"Общественный пункт охраны порядка Восточного административного округа № 59";"59";"Восточный административный округ";"район Новогиреево";"Свободный проспект, дом 37, корпус 2";"(495) 302-73-02";"";"";"";"90543502";
38;"Общественный пункт охраны порядка Восточного административного округа № 60";"60";"Восточный административный округ";"район Новогиреево";"Мартеновская улица, дом 31";"(499) 748-42-25";"";"";"";"90543503";
39;"Общественный пункт охраны порядка Восточного административного округа № 61";"61";"Восточный административный округ";"район Новогиреево";"Кусковская улица, дом 17";"(499) 785-77-45";"";"";"";"90543504";
40;"Общественный пункт охраны порядка Восточного административного округа № 62";"62";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 6к 1";"(499) 746-60-67";"";"";"";"90543505";
41;"Общественный пункт охраны порядка Восточного административного округа № 63";"63";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 29А";"(495) 701-14-27";"";"";"";"90543506";
42;"Общественный пункт охраны порядка Восточного административного округа № 64";"64";"Восточный административный округ";"район Новокосино";"Городецкая улица, дом 8, корпус 1";"(495) 703-71-74";"";"";"";"90543507";
43;"Общественный пункт охраны порядка Восточного административного округа № 65";"65";"Восточный административный округ";"район Новокосино";"Новокосинская улица, дом 23";"(495) 701-12-93";"";"";"";"90543508";
44;"Общественный пункт охраны порядка Восточного административного округа № 66";"66";"Восточный административный округ";"район Новокосино";"Салтыковская улица, дом 11, корпус 1";"(499) 746-60-63";"";"";"";"90543509";
45;"Общественный пункт охраны порядка Восточного административного округа № 67";"67";"Восточный административный округ";"район Новокосино";"Суздальская улица, дом 10, корпус 3";"(495) 703-71-47";"";"";"";"90543510";
46;"Общественный пункт охраны порядка Восточного административного округа № 68";"68";"Восточный административный округ";"район Новокосино";"Суздальская улица, дом 28";"(499) 746-60-65";"";"";"";"90543511";
47;"Общественный пункт охраны порядка Восточного административного округа № 69";"69";"Восточный административный округ";"район Перово";"3-я Владимирская улица, дом 12, корпус 2";"(495) 672-03-70";"";"";"";"90543512";
48;"Общественный пункт охраны порядка Восточного административного округа № 70";"70";"Восточный административный округ";"район Перово";"2-я Владимирская улица, дом 5";"(499) 785-13-56";"";"";"";"90543513";
49;"Общественный пункт охраны порядка Восточного административного округа № 71";"71";"Восточный административный округ";"район Перово";"Федеративный проспект, дом 5, корпус 1";"(495) 304-20-30";"";"";"";"90543514";
50;"Общественный пункт охраны порядка Восточного административного округа № 73";"73";"Восточный административный округ";"район Перово";"улица Плеханова, дом 26, корпус 4";"(499) 785-13-25";"";"";"";"90543515";
51;"Общественный пункт охраны порядка Восточного административного округа № 72";"72";"Восточный административный округ";"район Перово";"шоссе Энтузиастов, дом 82/2";"(499) 748-78-20";"";"";"";"90543516";
52;"Общественный пункт охраны порядка Восточного административного округа № 74";"74";"Восточный административный округ";"район Перово";"улица Плющева, дом 18, корпус 2";"(495) 309-42-35";"";"";"";"90543517";
53;"Общественный пункт охраны порядка Восточного административного округа № 75";"75";"Восточный административный округ";"район Перово";"1-я Владимирская улица, дом 22, корпус 2";"(495) 309-01-06";"";"";"";"90543518";
54;"Общественный пункт охраны порядка Восточного административного округа № 76";"76";"Восточный административный округ";"район Перово";"Перовская улица, дом 33, корпус 1";"(499) 785-16-87";"";"";"";"90543519";
55;"Общественный пункт охраны порядка Восточного административного округа № 77";"77";"Восточный административный округ";"район Восточный";"улица 9 Мая, дом 12";"(499) 780-15-97";"";"";"";"90543520";
56;"Общественный пункт охраны порядка Восточного административного округа № 78";"78";"Восточный административный округ";"район Преображенское";"Буженинова улица, дом 22";"(495) 963-46-33";"";"";"";"90543521";
57;"Общественный пункт охраны порядка Восточного административного округа № 79";"79";"Восточный административный округ";"район Преображенское";"Просторная улица, дом 6";"(499) 162-12-74";"";"";"";"90543522";
58;"Общественный пункт охраны порядка Восточного административного округа № 80";"80";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 10, корпус 1";"(495) 963-50-23";"";"";"";"90543523";
59;"Общественный пункт охраны порядка Восточного административного округа № 81";"81";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 26, корпус 6";"(499) 161-21-04";"";"";"";"90543524";
60;"Общественный пункт охраны порядка Восточного административного округа № 82";"82";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 5/5";"(495) 963-76-93";"";"";"";"90543525";
61;"Общественный пункт охраны порядка Восточного административного округа № 83";"83";"Восточный административный округ";"район Преображенское";"Открытое шоссе, дом 2, корпус 3";"(499) 785-52-92";"";"";"";"90543526";
62;"Общественный пункт охраны порядка Восточного административного округа № 84";"84";"Восточный административный округ";"район Северное Измайлово";"16-я Парковая улица, дом 43А";"(495) 530-83-46";"";"";"";"90543527";
63;"Общественный пункт охраны порядка Восточного административного округа № 85";"85";"Восточный административный округ";"район Северное Измайлово";"9-я Парковая улица, дом 55";"(499) 163-25-41";"";"";"";"90543528";
64;"Общественный пункт охраны порядка Восточного административного округа № 86";"86";"Восточный административный округ";"район Северное Измайлово";"Никитинская улица, дом 35, корпус 1";"(499) 163-62-74";"";"";"";"90543529";
65;"Общественный пункт охраны порядка Восточного административного округа № 87";"87";"Восточный административный округ";"район Северное Измайлово";"9-я Парковая улица, дом 66, корпус 2";"(495) 530-83-53";"";"";"";"90543530";
66;"Общественный пункт охраны порядка Восточного административного округа № 88";"88";"Восточный административный округ";"район Северное Измайлово";"16-я Парковая улица, дом 43А";"(495) 530-83-45";"";"";"";"90543531";
67;"Общественный пункт охраны порядка Восточного административного округа № 89";"89";"Восточный административный округ";"район Северное Измайлово";"Щёлковское шоссе, дом 82, корпус 1";"(499) 748-86-15";"";"";"";"90543532";
68;"Общественный пункт охраны порядка Восточного административного округа № 90";"90";"Восточный административный округ";"район Соколиная Гора";"Кирпичная улица, дом 14";"(499) 366-87-89";"";"";"";"90543533";
69;"Общественный пункт охраны порядка Восточного административного округа № 93";"93";"Восточный административный округ";"район Соколиная Гора";"Измайловское шоссе, дом 55";"(499) 369-48-64";"";"";"";"90543534";
70;"Общественный пункт охраны порядка Восточного административного округа № 91";"91";"Восточный административный округ";"район Соколиная Гора";"Мажоров переулок, дом 8";"(499) 366-87-90";"";"";"";"90543535";
71;"Общественный пункт охраны порядка Восточного административного округа № 92";"92";"Восточный административный округ";"район Соколиная Гора";"Зверинецкая улица, дом 25";"(499) 369-10-01";"";"";"";"90543536";
72;"Общественный пункт охраны порядка Восточного административного округа № 94";"94";"Восточный административный округ";"район Соколиная Гора";"5-я улица Соколиной Горы, дом 25А";"(499) 748-96-16";"";"";"";"90543537";
73;"Общественный пункт охраны порядка Восточного административного округа № 95";"95";"Восточный административный округ";"район Соколиная Гора";"проспект Будённого, дом 22, корпус 1";"(499) 748-96-06";"";"";"";"90543538";
74;"Общественный пункт охраны порядка Восточного административного округа № 96";"96";"Восточный административный округ";"район Сокольники";"Маленковская улица, дом 7";"(499) 785-25-02";"";"";"";"90543539";
75;"Общественный пункт охраны порядка Восточного административного округа № 97";"97";"Восточный административный округ";"район Сокольники";"Малая Остроумовская улица, дом 1";"(499) 785-24-81";"";"";"";"90543540";
76;"Общественный пункт охраны порядка Восточного административного округа № 98";"98";"Восточный административный округ";"район Сокольники";"улица Стромынка, дом 19, корпус 2";"(499) 268-38-62";"";"";"";"90543541";
77;"Общественный пункт охраны порядка Восточного административного округа № 99";"99";"Восточный административный округ";"район Сокольники";"3-я Сокольническая улица, дом 7";"(499) 268-70-83";"";"";"";"90543542";
78;"Общественный пункт охраны порядка Юго-Восточного административного округа № 1";"1";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Рязанский проспект, дом 84/2";"(499) 741-52-58";"";"";"";"90543543";
79;"Общественный пункт охраны порядка Юго-Восточного административного округа № 2";"2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Ферганский проезд, дом 7, корпус 1";"(495) 657-57-90";"квартира 111";"";"";"90543544";
80;"Общественный пункт охраны порядка Юго-Восточного административного округа № 3";"3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"квартал Самаркандский Бульвар 137а, корпус 11";"(499) 741-63-40";"";"";"";"90543545";
81;"Общественный пункт охраны порядка Юго-Восточного административного округа № 4";"4";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Ферганская улица, дом 18, корпус 3";"(499) 741-63-30";"";"";"";"90543546";
82;"Общественный пункт охраны порядка Юго-Восточного административного округа № 5";"5";"Юго-Восточный административный округ";"район Выхино-Жулебино";"улица Хлобыстова, дом 12, корпус 2";"(499) 796-54-91";"";"";"";"90543547";
83;"Общественный пункт охраны порядка Юго-Восточного административного округа № 6";"6";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Ферганская улица, дом 15, корпус 1";"(495) 372-33-71";"квартира 278";"";"";"90543548";
84;"Общественный пункт охраны порядка Юго-Восточного административного округа № 7";"7";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Волгоградский проспект, дом 170";"(495) 372-65-11";"";"";"";"90543549";
85;"Общественный пункт охраны порядка Юго-Восточного административного округа № 8";"8";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Рязанский проспект, дом 72, корпус 2";"(499) 741-61-70";"";"";"";"90543550";
86;"Общественный пункт охраны порядка Юго-Восточного административного округа № 9";"9";"Юго-Восточный административный округ";"район Выхино-Жулебино";"улица Генерала Кузнецова, дом 26, корпус 3";"(499) 742-16-26";"";"";"";"90543551";
87;"Общественный пункт охраны порядка Юго-Восточного административного округа № 10";"10";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Привольная улица, дом 71, корпус 1";"(499) 742-16-25";"";"";"";"90543552";
88;"Общественный пункт охраны порядка Юго-Восточного административного округа № 11";"11";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Пронская улица, дом 3";"(499) 746-11-30";"";"";"";"90543553";
89;"Общественный пункт охраны порядка Юго-Восточного административного округа № 12";"12";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Моршанская улица, дом 6";"(499) 796-59-80";"";"";"";"90543554";
90;"Общественный пункт охраны порядка Юго-Восточного административного округа № 13";"13";"Юго-Восточный административный округ";"район Выхино-Жулебино";"улица Авиаконструктора Миля, дом 1";"(499) 796-68-50";"";"";"";"90543555";
91;"Общественный пункт охраны порядка Юго-Восточного административного округа № 14";"14";"Юго-Восточный административный округ";"район Выхино-Жулебино";"улица Генерала Кузнецова, дом 17, корпус 1";"(499) 796-61-40";"";"";"";"90543556";
92;"Общественный пункт охраны порядка Юго-Восточного административного округа № 15";"15";"Юго-Восточный административный округ";"район Капотня";"5-й квартал Капотня, дом 26";"(495) 657-46-81";"";"";"";"90543557";
93;"Общественный пункт охраны порядка Юго-Восточного административного округа № 16";"16";"Юго-Восточный административный округ";"район Капотня";"5-й квартал Капотня, дом 26";"(495) 657-46-81";"";"";"";"90543558";
94;"Общественный пункт охраны порядка Юго-Восточного административного округа № 18";"18";"Юго-Восточный административный округ";"район Кузьминки";"Окская улица, дом 14, корпус 2";"(495) 657-01-31";"";"";"";"90543559";
95;"Общественный пункт охраны порядка Юго-Восточного административного округа № 19";"19";"Юго-Восточный административный округ";"район Кузьминки";"Волжский бульвар, дом 114, корпус 3";"(499) 178-00-61";"";"";"";"90543560";
96;"Общественный пункт охраны порядка Юго-Восточного административного округа № 20";"20";"Юго-Восточный административный округ";"район Кузьминки";"Зеленодольская улица, дом 36, корпус 2";"(495) 657-04-90";"";"";"";"90543561";
97;"Общественный пункт охраны порядка Юго-Восточного административного округа № 21";"21";"Юго-Восточный административный округ";"район Кузьминки";"улица Юных Ленинцев, дом 77, корпус 3";"(499) 178-00-73";"";"";"";"90543562";
98;"Общественный пункт охраны порядка Юго-Восточного административного округа № 22";"22";"Юго-Восточный административный округ";"район Кузьминки";"Волжский бульвар, дом 25, корпус 1";"(499) 178-00-61";"";"";"";"90543563";
99;"Общественный пункт охраны порядка Юго-Восточного административного округа № 23";"23";"Юго-Восточный административный округ";"район Кузьминки";"Волгоградский проспект, дом 130, корпус 3";"(499) 178-01-16";"";"";"";"90543564";
100;"Общественный пункт охраны порядка Юго-Восточного административного округа № 24";"24";"Юго-Восточный административный округ";"район Кузьминки";"Волгоградский проспект, дом 135, корпус 3";"(499) 172-00-02";"";"";"";"90543565";
101;"Общественный пункт охраны порядка Юго-Восточного административного округа № 25";"25";"Юго-Восточный административный округ";"район Кузьминки";"улица Маршала Чуйкова, дом 11, корпус 3";"(499) 178-02-18";"";"";"";"90543566";
102;"Общественный пункт охраны порядка Юго-Восточного административного округа № 26";"26";"Юго-Восточный административный округ";"район Лефортово";"шоссе Энтузиастов, дом 18";"(495) 918-11-27";"";"";"";"90543567";
103;"Общественный пункт охраны порядка Юго-Восточного административного округа № 27";"27";"Юго-Восточный административный округ";"район Лефортово";"Средний Золоторожский переулок, дом 9";"(495) 361-13-23";"";"";"";"90543568";
104;"Общественный пункт охраны порядка Юго-Восточного административного округа № 28";"28";"Юго-Восточный административный округ";"район Лефортово";"Авиамоторная улица, дом 29";"(495) 362-80-41";"";"";"";"90543569";
105;"Общественный пункт охраны порядка Юго-Восточного административного округа № 29";"29";"Юго-Восточный административный округ";"район Лефортово";"Волочаевская улица, дом 19";"(495) 362-89-86";"";"";"";"90543570";
106;"Общественный пункт охраны порядка Юго-Восточного административного округа № 30";"30";"Юго-Восточный административный округ";"район Лефортово";"Лонгиновская улица, дом 10";"(495) 360-26-13";"";"";"";"90543571";
107;"Общественный пункт охраны порядка Юго-Восточного административного округа № 31";"31";"Юго-Восточный административный округ";"район Люблино";"Армавирская улица, дом 5";"(495) 358-92-01";"";"";"";"90543572";
108;"Общественный пункт охраны порядка Юго-Восточного административного округа № 32";"32";"Юго-Восточный административный округ";"район Люблино";"Совхозная улица, дом 16, корпус 1";"(495) 358-54-74";"";"";"";"90543573";
109;"Общественный пункт охраны порядка Юго-Восточного административного округа № 33";"33";"Юго-Восточный административный округ";"район Люблино";"Краснодонская улица, дом 1, корпус 1";"(495) 350-46-93";"";"";"";"90543574";
110;"Общественный пункт охраны порядка Юго-Восточного административного округа № 34";"34";"Юго-Восточный административный округ";"район Люблино";"Совхозная улица, дом 8";"(495) 351-62-42";"";"";"";"90543575";
111;"Общественный пункт охраны порядка Юго-Восточного административного округа № 35";"35";"Юго-Восточный административный округ";"район Люблино";"Люблинская улица, дом 61";"(495) 350-33-54";"";"";"";"90543576";
112;"Общественный пункт охраны порядка Юго-Восточного административного округа № 37";"37";"Юго-Восточный административный округ";"район Люблино";"Белореченская улица, дом 13, корпус 2";"(495) 358-64-56";"";"";"";"90543577";
113;"Общественный пункт охраны порядка Юго-Восточного административного округа № 38";"38";"Юго-Восточный административный округ";"район Люблино";"улица Маршала Баграмяна, дом 4";"(499) 722-03-10";"";"";"";"90543578";
114;"Общественный пункт охраны порядка Юго-Восточного административного округа № 36";"36";"Юго-Восточный административный округ";"район Люблино";"проспект 40 лет Октября, дом 23, корпус 1";"(495) 351-31-88";"";"";"";"90543579";
115;"Общественный пункт охраны порядка Юго-Восточного административного округа № 39";"39";"Юго-Восточный административный округ";"район Люблино";"улица Головачёва, дом 11";"(495) 359-12-01";"";"";"";"90543580";
116;"Общественный пункт охраны порядка Юго-Восточного административного округа № 40";"40";"Юго-Восточный административный округ";"район Марьино";"Батайский проезд, дом 41";"(495) 348-45-81";"";"";"";"90543581";
117;"Общественный пункт охраны порядка Юго-Восточного административного округа № 41";"41";"Юго-Восточный административный округ";"район Марьино";"Донецкая улица, дом 11";"(495) 348-80-14";"";"";"";"90543582";
118;"Общественный пункт охраны порядка Юго-Восточного административного округа № 42";"42";"Юго-Восточный административный округ";"район Марьино";"Донецкая улица, дом 4, корпус 2";"(495) 348-02-85";"";"";"";"90543583";
119;"Общественный пункт охраны порядка Юго-Восточного административного округа № 43";"43";"Юго-Восточный административный округ";"район Марьино";"Батайский проезд, дом 35";"(495) 348-43-36";"";"";"";"90543584";
120;"Общественный пункт охраны порядка Юго-Восточного административного округа № 44";"44";"Юго-Восточный административный округ";"район Марьино";"Новочеркасский бульвар, дом 31";"(495) 348-36-51";"";"";"";"90543585";
121;"Общественный пункт охраны порядка Юго-Восточного административного округа № 45";"45";"Юго-Восточный административный округ";"район Марьино";"Марьинский бульвар";"(495) 346-24-26";"";"";"";"90543586";
122;"Общественный пункт охраны порядка Юго-Восточного административного округа № 46";"46";"Юго-Восточный административный округ";"район Марьино";"улица Перерва, дом 56, корпус 1";"(495) 346-61-60";"";"";"";"90543587";
123;"Общественный пункт охраны порядка Юго-Восточного административного округа № 47";"47";"Юго-Восточный административный округ";"район Марьино";"Поречная улица, дом 17/22";"(495) 346-28-60";"";"";"";"90543588";
124;"Общественный пункт охраны порядка Юго-Восточного административного округа № 48";"48";"Юго-Восточный административный округ";"район Марьино";"Поречная улица, дом 21";"(495) 346-81-76";"";"";"";"90543589";
125;"Общественный пункт охраны порядка Юго-Восточного административного округа № 77";"77";"Юго-Восточный административный округ";"район Марьино";"Перервинский бульвар, дом 19, корпус 3";"(495) 654-73-30";"";"";"";"90543590";
126;"Общественный пункт охраны порядка Юго-Восточного административного округа № 49";"49";"Юго-Восточный административный округ";"район Марьино";"Мячковский бульвар, дом 9, корпус 2";"(495) 346-79-89";"";"";"";"90543591";
127;"Общественный пункт охраны порядка Юго-Восточного административного округа № 50";"50";"Юго-Восточный административный округ";"район Марьино";"Братиславская улица, дом 15, корпус 2";"(495) 654-81-57";"";"";"";"90543592";
128;"Общественный пункт охраны порядка Юго-Восточного административного округа № 51";"51";"Юго-Восточный административный округ";"район Марьино";"улица Перерва, дом 45, корпус 1";"(495) 346-62-97";"";"";"";"90543593";
129;"Общественный пункт охраны порядка Юго-Восточного административного округа № 78";"78";"Юго-Восточный административный округ";"район Марьино";"улица Верхние Поля, дом 42, корпус 2";"(495) 654-47-19";"";"";"";"90543594";
