ROWNUM;NAME;ADDRESS;X;Y;OPLATA;MESTO;VHOD;VNUTR;UNIVERS_USLUGA;GLOBALID;
2087;"Метро-переход";"Орехово ст. м. корп. стр. север";"37,696126";"55,612394";"Карты";"Метро-переход";"Да";"Нет";"Да";"90838186";
2088;"Ул.Кабина";"Малыгина ул. 5 корп. стр.";"37,696438";"55,879991";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838187";
2089;"Организация";"Шипиловский пр. 31 корп. стр. ДСЗН Геронтопсих. центр милосердия";"37,6966";"55,61625";"Карты";"Организация";"Нет";"Да";"Нет";"90838188";
2090;"Школа";"Стромынка ул. 17 корп. стр. школа 378";"37,696932";"55,794727";"Карты";"Школа";"Нет";"Да";"Нет";"90838189";
2091;"Следственный изолятор";"Матросская тишина ул. 18 корп. стр. СИЗО-1 ФСИН России";"37,698594";"55,79146";"Карты";"Следственный изолятор";"Нет";"Нет";"Нет";"90838190";
2092;"Следственный изолятор";"Матросская тишина ул. 18 корп. стр. следственный изолятор";"37,698624";"55,791427";"Карты";"Следственный изолятор";"Нет";"Нет";"Нет";"90838191";
2093;"Следственный изолятор";"Матросская тишина ул. 18 корп. стр. тюрьма";"37,696765";"55,791079";"Карты";"Следственный изолятор";"Нет";"Нет";"Нет";"90838192";
2094;"Ул.Кабина";"Шипиловский пр. 39 корп. стр. у магазина";"37,696898";"55,610877";"Карты";"Ул.Кабина";"Нет";"Нет";"Нет";"90838193";
2095;"Больница";"Курьяновская 1-я ул. 34 корп.1 стр. 2 эт.";"37,697268";"55,652371";"Карты";"Больница";"Нет";"Да";"Нет";"90838194";
2096;"Больница";"Курьяновская 1-я ул. 34 корп.1 стр. 3 эт.";"37,697268";"55,652371";"Карты";"Больница";"Нет";"Да";"Нет";"90838195";
2097;"Школа";"Загорьевская ул. 31 корп. стр. Школа 1426";"37,697459";"55,584583";"Карты";"Школа";"Нет";"Да";"Нет";"90838196";
2098;"Школа";"Каширское шоссе 55 корп.7 стр. ЦО 1828 ""Сабурово""";"37,697456";"55,639732";"Карты";"Школа";"Нет";"Да";"Нет";"90838197";
2099;"Школа";"Миллионная ул. 5 корп.7 стр. Школа 374";"37,697681";"55,816191";"Карты";"Школа";"Нет";"Да";"Нет";"90838198";
2100;"Школа";"Палехская ул. 10 корп. стр. Школа 1096";"37,698392";"55,866325";"Карты";"Школа";"Нет";"Да";"Нет";"90838199";
2101;"Школа";"Захарова маршала ул. 25 корп. стр.1 школа 578";"37,699542";"55,61904";"Карты";"Школа";"Нет";"Да";"Нет";"90838200";
2102;"Школа";"Захарова маршала ул. 25 корп.2 стр. школа 937";"37,701399";"55,619283";"Карты";"Школа";"Нет";"Да";"Нет";"90838201";
2103;"Школа";"Курьяновский 1-й пр. 14 корп. стр. школа 493";"37,699581";"55,657274";"Карты";"Школа";"Нет";"Да";"Нет";"90838202";
2104;"Школа";"Краснобогатырская ул. 21 корп.2 стр. Школа 1079";"37,701865";"55,812781";"Карты";"Школа";"Нет";"Да";"Нет";"90838203";
2105;"Школа";"Коломенская наб. 16 корп. стр. школа 514";"37,699907";"55,677189";"Карты";"Школа";"Нет";"Да";"Нет";"90838204";
2106;"Школа";"Потешная ул. 5 корп. стр. Школа-интернат 29";"37,701632";"55,801437";"Карты";"Школа";"Нет";"Да";"Нет";"90838205";
2107;"Больница";"Госпитальная пл. 3 корп. стр. госп.Бурденко, 30 отд., 2 этаж";"37,698138";"55,767965";"Карты+монеты";"Больница";"Нет";"Нет";"Нет";"90838206";
2108;"Больница";"Госпитальная пл. 3 корп. стр. Госпиталь Бурденко, 29 отд, 2 эт.";"37,696329";"55,768991";"Карты";"Больница";"Нет";"Нет";"Нет";"90838207";
2109;"Больница";"Госпитальная пл. 3 корп. стр. госпиталь Бурденко, новая хирургия 1 эт.";"37,699974";"55,770532";"Карты";"Больница";"Нет";"Нет";"Нет";"90838208";
2110;"Больница";"Госпитальная пл. 3 корп. стр. Госпиталь Бурденко, 53 отд., 2 эт.";"37,696686";"55,768736";"Карты";"Больница";"Нет";"Нет";"Нет";"90838209";
2111;"Больница";"Госпитальная пл. 3 корп. стр. госп.Бурденко, ЛДК., 3 эт. госпиталь Бурденко";"37,69894";"55,771028";"Карты";"Больница";"Нет";"Нет";"Нет";"90838210";
2112;"Больница";"Госпитальная пл. 3 корп. стр. госп.Бурденко, 12 отд., 1 этаж";"37,696183";"55,76761";"Карты";"Больница";"Нет";"Нет";"Нет";"90838211";
2113;"Больница";"Госпитальная пл. 3 корп. стр. госп.Бурденко ст.хирург.2 этаж";"37,700068";"55,769096";"Карты";"Больница";"Нет";"Нет";"Нет";"90838212";
2114;"Больница";"Госпитальная пл. 3 корп. стр. госп. Бурденко ст.хирургия, 1 эт.";"37,700043";"55,769068";"Карты";"Больница";"Нет";"Нет";"Нет";"90838213";
2115;"Больница";"Госпитальная пл. 9 корп. стр. госп.Бурденко ЛДК, 5 эт. госпиталь Бурденко";"37,698813";"55,771033";"Карты";"Больница";"Нет";"Нет";"Нет";"90838214";
2116;"Больница";"Госпитальная пл. 9 корп. стр. госп.Бурденко радиология, 3 этаж";"37,696868";"55,771444";"Карты";"Больница";"Нет";"Нет";"Нет";"90838215";
2117;"Школа";"Ореховый бульв. 3 корп. стр. школа 510";"37,701387";"55,609954";"Карты";"Школа";"Нет";"Да";"Нет";"90838216";
2118;"Школа";"Ярославское шоссе 65 корп. стр. Школа-ис.№2";"37,701841";"55,866217";"Карты";"Школа";"Нет";"Да";"Нет";"90838217";
2119;"Школа";"Лефортовский вал ул. 14 корп. стр. Дом пионеров";"37,701779";"55,760403";"Карты";"Школа";"Нет";"Да";"Нет";"90838218";
